date,regime_label,ae_error,llm_macro,llm_sentiment,llm_risk,v1_w_n_broad,v1_w_n_sat,v1_w_n_fi,v1_w_n_safe,v1_w_n_cash,v1_w_e_broad,v1_w_e_sat,v1_w_e_fi,v1_w_e_safe,v1_w_e_cash,v2_w_n_broad,v2_w_n_sat,v2_w_n_fi,v2_w_n_safe,v2_w_n_cash,v2_w_e_broad,v2_w_e_sat,v2_w_e_fi,v2_w_e_safe,v2_w_e_cash,v1_r_n,v1_r_e,v1_edge,v2_r_n,v2_r_e,v2_edge
2023-10-13,event_stress,25.333967208862305,62.0,62.5,53.75,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.1005823244168723,0.07162374916259415,0.4277939264205337,0.2,0.19999999999999998,-0.007426369583358331,-0.008049368579901857,-0.0006229989965435261,-0.007426369583358331,-0.007681546375688647,-0.00025517679233031613
2023-10-20,event_stress,39.02693176269531,63.6,59.15,52.95,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.1176433574005618,0.1,0.38395107496550557,0.2415979446966002,0.15680762293733239,-0.0011034751551828592,0.005982558473847082,0.007086033629029941,-0.0011034751551828592,4.4161139518500946e-05,0.0011476362947013602
2023-10-27,event_stress,20.376544952392575,63.91,58.760000000000005,53.5,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.04769363346989193,0.052306366530108145,0.3,0.4,0.2,0.005354734292628451,0.0037345574976476643,-0.0016201767949807866,0.005354734292628451,0.0025401790179334282,-0.0028145552746950226
2023-11-03,bull_normal,15.29140853881836,68.3,65.5,42.7,0.2,0.2,0.2,0.2,0.2,0.20896869350700162,0.18021120010460787,0.2528846709576144,0.19560453555043156,0.16233089988034466,0.2,0.2,0.2,0.2,0.2,0.13786551286971027,0.1526529595220547,0.29153140604843514,0.2679501215597999,0.15,0.004655068826742407,0.004839485642222723,0.00018441681548031583,0.004655068826742407,0.004783194095575695,0.00012812526883328786
2023-11-10,bull_normal,13.94404125213623,53.5,54.0,45.25,0.2,0.2,0.2,0.2,0.2,0.19954435577721427,0.11280535733069925,0.2911865259056434,0.20353010718296355,0.19293365380347946,0.2,0.2,0.2,0.2,0.2,0.21571691984746683,0.21381457686367586,0.23321824062177854,0.22640421679090106,0.11084604587617776,-0.003420512280698256,-0.0035369996056620096,-0.00011648732496375358,-0.003420512280698256,-0.003432911005447699,-1.2398724749443021e-05
2023-11-17,bull_normal,13.34683322906494,66.6,63.3,42.25,0.2,0.2,0.2,0.2,0.2,0.2089701029283362,0.15748119773208094,0.2619008382285002,0.19658676879930673,0.17506109231177605,0.2,0.2,0.2,0.2,0.2,0.19972581879756102,0.20490834572355615,0.35364265883610363,0.09172317664277924,0.15,2.5452217588471356e-07,0.0005202992810356354,0.0005200447588597508,2.5452217588471356e-07,0.0010319853020634836,0.001031730779887599
2023-11-24,event_stress,24.723976135253903,67.32000000000001,62.65,41.75,0.1,0.05,0.5,0.2,0.15,0.05,0.0,0.45,0.35,0.15,0.1,0.05,0.5,0.2,0.15,0.13089243390278651,0.10000000000000003,0.30000000000000004,0.32386659002779294,0.1452409760694205,-0.012263217510949203,-0.013328982588518317,-0.001065765077569114,-0.012263217510949203,-0.011329134116097268,0.0009340833948519346
2023-12-01,bull_normal,13.764066696166992,67.56,62.760000000000005,40.85,0.2,0.2,0.2,0.2,0.2,0.21060451365645946,0.16435725224408884,0.2590988387520203,0.19369235274026655,0.17224704260716486,0.2,0.2,0.2,0.2,0.2,0.3522343826890414,0.3636585059986695,0.06493917271814349,0.06916793859414565,0.15000000000000002,-0.002584828752615666,-0.0020045439512565467,0.0005802848013591192,-0.002584828752615666,-0.0063622999637194,-0.0037774712111037344
2023-12-08,bull_normal,16.414527893066406,61.4,60.0,51.75,0.2,0.2,0.2,0.2,0.2,0.20177804105479039,0.12595170410615783,0.28181499041120683,0.2030416038183985,0.18741366060944648,0.2,0.2,0.2,0.2,0.2,0.20137710907748424,0.19986632030094809,0.30098881042032355,0.1477677602012442,0.15,-0.0046113716780700476,-0.004030647646243576,0.0005807240318264715,-0.0046113716780700476,-0.004979605363501205,-0.0003682336854311571
2023-12-15,bull_normal,10.380340576171877,61.5,62.3,45.3,0.2,0.2,0.2,0.2,0.2,0.20441462290966006,0.1384664259780883,0.2747767876655476,0.20005966762251384,0.18228249582419018,0.2,0.2,0.2,0.2,0.2,0.1945553621609603,0.1950055578857598,0.24290918172479023,0.21752989822848967,0.15,-0.001320599392738681,-1.4305888669996361e-05,0.0013062935040686846,-0.001320599392738681,-0.0006206466581619992,0.0006999527345766818
